source,amount,category,payment method,date
House,2600,Rent,Debit Card,1
Trader Joe's,260.75,Groceries,Credit Card,5
Hydro-Quebec,119.80,Utilities,Debit Card,3
Gas Station,53.00,Fuel,Credit Card,9
Bell,91.50,Utilities,Debit Card,6
Restaurant,82.00,Entertainment,Credit Card,14
Gym,45,Health,Debit Card,8
Pharmacy,30.99,Health,Cash,11
Cinema,20.75,Entertainment,Credit Card,12
H&M,205.50,Shopping,Credit Card,17
Grubhub,46.20,Fast Food,Paypal,15
Netflix,13.99,Subscription,Credit Card,19
Spotify,9.99,Subscription,Credit Card,22
Bookstore,39.50,Education,Credit Card,24
Amazon,142.80,Shopping,Credit Card,28
