source,amount,category,payment method,date
House,2600,Rent,Debit Card,1
Albertsons,300.00,Groceries,Credit Card,5
Hydro-Quebec,128.80,Utilities,Debit Card,3
Chevron,65.00,Fuel,Credit Card,9
Telus,99.00,Utilities,Debit Card,6
Holiday Event,120.00,Entertainment,Credit Card,14
Fitness Center,60.00,Health,Debit Card,8
CVS,37.50,Health,Cash,11
Winter Festival,40.00,Entertainment,Credit Card,12
Nordstrom,260.00,Shopping,Credit Card,17
Seamless,56.00,Fast Food,Paypal,15
Hulu,15.99,Subscription,Credit Card,19
Apple Music,10.99,Subscription,Credit Card,22
Education Class,30.00,Education,Credit Card,24
Target,165.80,Shopping,Credit Card,28
