source,amount,category,payment method,date
House,2600,Rent,Debit Card,1
Target,270.50,Groceries,Credit Card,5
Hydro-Quebec,119.30,Utilities,Debit Card,3
Gas Station,55.75,Fuel,Credit Card,9
Bell,89.60,Utilities,Debit Card,6
Restaurant,87.50,Entertainment,Credit Card,14
Gym,45,Health,Debit Card,8
Pharmacy,33.00,Health,Cash,11
Cinema,23.00,Entertainment,Credit Card,12
Gap,225.00,Shopping,Credit Card,17
Seamless,49.50,Fast Food,Paypal,15
Netflix,13.99,Subscription,Credit Card,19
Spotify,9.99,Subscription,Credit Card,22
Bookstore,37.50,Education,Credit Card,24
Amazon,147.80,Shopping,Credit Card,28
