source,amount,category,payment method,date
House,2600,Rent,Debit Card,1
Whole Foods,290.00,Groceries,Credit Card,5
Hydro-Quebec,125.90,Utilities,Debit Card,3
BP,63.50,Fuel,Credit Card,9
Rogers,97.20,Utilities,Debit Card,6
Circus,102.00,Entertainment,Credit Card,14
Wellness Center,50.00,Health,Debit Card,8
Rite Aid,35.75,Health,Cash,11
Escape Room,32.00,Entertainment,Credit Card,12
American Eagle,245.00,Shopping,Credit Card,17
Grubhub,53.70,Fast Food,Paypal,15
Hulu,15.99,Subscription,Credit Card,19
Apple Music,10.99,Subscription,Credit Card,22
Seminar,22.00,Education,Credit Card,24
Newegg,160.90,Shopping,Credit Card,28
