source,amount,category,payment method,date
House,2600,Rent,Debit Card,1
Safeway,280.80,Groceries,Credit Card,5
Hydro-Quebec,124.50,Utilities,Debit Card,3
Exxon,62.00,Fuel,Credit Card,9
Bell,95.00,Utilities,Debit Card,6
Zoo,100.00,Entertainment,Credit Card,14
Health Club,52.00,Health,Debit Card,8
CVS,34.00,Health,Cash,11
Arcade,28.00,Entertainment,Credit Card,12
Tillys,240.00,Shopping,Credit Card,17
Postmates,51.50,Fast Food,Paypal,15
Hulu,15.99,Subscription,Credit Card,19
Apple Music,10.99,Subscription,Credit Card,22
Workshop,40.00,Education,Credit Card,24
B&H,158.60,Shopping,Credit Card,28
